Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
NBA Street,gc,2002,sports,electronic arts,0.33,0.09,0.0,0.01,0.42,8.8,15.0,8.6,7.0,EA Sports,E
Def Jam Icon,ps3,2007,action,electronic arts,0.16,0.19,0.0,0.08,0.42,6.8,38.0,4.4,40.0,EA Chicago,M
2014 FIFA World Cup Brazil,x360,2014,sports,electronic arts,0.15,0.25,0.0,0.03,0.42,7.4,29.0,4.4,93.0,EA Canada,E
The Legend of Spyro: The Eternal Night,ps2,2007,platform,vivendi games,0.21,0.16,0.0,0.05,0.42,5.4,18.0,5.4,28.0,Krome Studios,E10+
Atelier Totori: The Adventurer of Arland,ps3,2010,role-playing,nippon ichi software,0.12,0.06,0.21,0.03,0.42,7.4,19.0,6.7,109.0,Gust,T
Mega Man Battle Network,gba,2001,role-playing,capcom,0.14,0.05,0.22,0.01,0.42,7.9,10.0,8.9,24.0,Capcom,E
Juiced: Eliminator,psp,2006,racing,thq,0.11,0.2,0.0,0.12,0.42,6.5,24.0,8.2,6.0,Juice Games,T
25 to Life,ps2,2006,shooter,eidos interactive,0.35,0.01,0.0,0.06,0.42,3.9,23.0,4.9,46.0,"Ritual Entertainment, Avalanche Software",M
NHL 2K6,ps2,2005,sports,take-two interactive,0.21,0.16,0.0,0.05,0.42,8.1,28.0,5.8,18.0,2K Sports,E10+
Medal of Honor: Rising Sun,gc,2003,shooter,electronic arts,0.33,0.09,0.0,0.01,0.42,6.8,24.0,6.4,13.0,EA LA,T
The Sims,xb,2003,simulation,electronic arts,0.31,0.1,0.0,0.01,0.42,8.4,17.0,6.9,20.0,Edge of Reality,T
Dog's Life,ps2,2003,adventure,sony computer entertainment,0.21,0.16,0.0,0.05,0.42,6.4,19.0,3.1,157.0,Frontier Developments,T
The X Files,ps,1999,adventure,sony computer entertainment,0.24,0.16,0.0,0.03,0.42,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Super Wagyan Land,snes,1991,action,namco bandai games,0.0,0.0,0.42,0.0,0.42,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Rascal,ps,1998,action,psygnosis,0.24,0.16,0.0,0.03,0.42,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
"Barbie: Jet, Set & Style!",ds,2011,misc,thq,0.34,0.05,0.0,0.03,0.42,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Tony Hawk's American Wasteland,gc,2005,sports,activision,0.33,0.08,0.0,0.01,0.42,7.6,26.0,7.7,15.0,Neversoft Entertainment,T
Command & Conquer 3: Tiberium Wars,x360,2007,strategy,electronic arts,0.35,0.04,0.0,0.03,0.42,7.215878378378379,28.33108108108108,7.294426229508197,198.41311475409836,Unknown,E
Sin and Punishment: Star Successor,wii,2009,shooter,nintendo,0.19,0.14,0.06,0.03,0.42,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Crash: Mind Over Mutant,psp,2008,platform,vivendi games,0.11,0.2,0.0,0.11,0.42,6.812448979591837,23.76734693877551,6.5,8.0,Virtuos,E10+
Ben 10 Alien Force: Vilgax Attacks,ds,2009,action,d3publisher,0.22,0.16,0.0,0.04,0.42,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,D3Publisher,E
Famicom Mini: Super Mario Bros. 2,gba,2004,platform,nintendo,0.0,0.0,0.41,0.01,0.42,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Colony Wars,ps,1997,simulation,psygnosis,0.24,0.16,0.0,0.03,0.42,9.1,12.0,7.8,12.0,Psygnosis,E
All-Star Baseball 2004,ps2,2003,sports,acclaim entertainment,0.21,0.16,0.0,0.05,0.42,7.8,19.0,7.5,11.0,Acclaim Studios Austin,E
Big Strike Bowling,ps,2003,sports,gotham games,0.23,0.16,0.0,0.03,0.42,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Skylanders: SuperChargers,x360,2015,action,activision,0.25,0.13,0.0,0.04,0.42,6.667693138843868,27.891950297136685,5.4,5.0,Vicarious Visions,E10+
Ben 10 Alien Force: Vilgax Attacks,psp,2009,action,d3publisher,0.13,0.19,0.0,0.11,0.42,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Papaya Studios,E10+
NASCAR Thunder 2002,ps,2001,racing,electronic arts,0.23,0.16,0.0,0.03,0.42,6.9,8.0,6.9,10.0,Black Box,E
Batman: Arkham Origins Blackgate,psv,2013,action,warner bros. interactive entertainment,0.16,0.17,0.0,0.1,0.42,6.1,38.0,6.8,106.0,Armature Studio,T
Zone of the Enders HD Collection,ps3,2012,simulation,konami digital entertainment,0.21,0.07,0.09,0.05,0.42,7.3,27.0,8.0,42.0,High Voltage Software,M
Grandia,sat,1997,role-playing,esp,0.0,0.0,0.42,0.0,0.42,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
2010 FIFA World Cup South Africa,wii,2010,sports,electronic arts,0.23,0.15,0.01,0.04,0.42,7.0,19.0,6.7,11.0,Electronic Arts,E
ESPN NHL 2K5,xb,2004,sports,global star,0.32,0.09,0.0,0.02,0.42,8.8,32.0,8.5,14.0,Kush Games,E
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,gba,2005,misc,konami digital entertainment,0.3,0.11,0.0,0.01,0.42,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Hot Wheels World Race,ps2,2003,racing,thq,0.21,0.16,0.0,0.05,0.42,5.5,5.0,7.7,9.0,Climax Group,E
Avatar: The Last Airbender - The Burning Earth,ps2,2007,action,thq,0.21,0.16,0.0,0.05,0.42,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Superman: Shadow of Apokolips,ps2,2002,action,atari,0.21,0.16,0.0,0.05,0.42,6.4,22.0,7.2,9.0,Atari,E
Trials Fusion,ps4,2014,racing,ubisoft,0.13,0.22,0.01,0.07,0.42,7.9,51.0,7.2,244.0,RedLynx,E10+
American Chopper,ps2,2004,racing,zoo digital publishing,0.35,0.01,0.0,0.06,0.42,4.7,4.0,7.5,13.0,Creat Studios,T
NASCAR Kart Racing,wii,2009,racing,electronic arts,0.39,0.0,0.0,0.03,0.42,7.0,12.0,8.1,9.0,Electronic Arts,E
Star Wars Trilogy: Apprentice of the Force,gba,2004,action,ubisoft,0.3,0.11,0.0,0.01,0.42,6.0,21.0,7.058129175946548,188.76391982182628,Ubisoft,E
Guitar Hero: Smash Hits,x360,2009,misc,activision,0.23,0.15,0.0,0.04,0.42,7.1,56.0,5.9,18.0,Beenox,T
Lemony Snicket's A Series of Unfortunate Events,gba,2004,platform,activision,0.3,0.11,0.0,0.01,0.42,7.2,8.0,8.0,4.0,Griptonite Games,E
JGTC: All-Japan Grand Touring Car Championship,ps,1998,racing,tyo,0.23,0.16,0.0,0.03,0.42,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
Virtua Tennis 4: World Tour,psv,2011,sports,sega,0.04,0.28,0.01,0.09,0.42,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Arc the Lad III,ps,1999,role-playing,sony computer entertainment,0.0,0.0,0.39,0.03,0.42,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Just Dance: Summer Party,wii,2011,misc,ubisoft,0.4,0.0,0.0,0.02,0.42,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Ubisoft,E10+
SpongeBob's Truth or Square (US sales),ds,2009,action,thq,0.42,0.0,0.0,0.0,0.42,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Mobile Suit Gundam: Gundam vs. Gundam,psp,2008,fighting,namco bandai games,0.0,0.0,0.42,0.0,0.42,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Test Drive,xb,2002,racing,atari,0.35,0.05,0.0,0.02,0.42,7.1,16.0,8.7,10.0,Pitbull Syndicate,T
Jikkyou Powerful Pro Yakyuu 11,ps2,2004,sports,konami digital entertainment,0.0,0.0,0.42,0.0,0.42,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Petz: Horsez 2,wii,2007,simulation,ubisoft,0.39,0.0,0.0,0.03,0.42,6.860919540229885,21.419540229885058,7.132153392330384,83.42182890855457,Phoenix Games Studio,E
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,ps2,2003,action,thq,0.21,0.16,0.0,0.05,0.42,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Pirates of the Caribbean: At World's End,psp,2007,action,disney interactive studios,0.15,0.17,0.0,0.1,0.42,6.1,5.0,7.0,11.0,Eurocom Entertainment Software,T
Dr. Mario 64,n64,2001,puzzle,nintendo,0.34,0.07,0.0,0.0,0.42,6.723181818181819,20.454545454545453,7.1384,33.12,Unknown,E
Jikkyou Powerful Pro Yakyuu 6,n64,1999,sports,konami digital entertainment,0.0,0.0,0.39,0.03,0.42,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Army Men: Sarge's Heroes 2,n64,2000,shooter,3do,0.34,0.07,0.0,0.0,0.42,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Rush 2: Extreme Racing USA,n64,1998,racing,midway games,0.35,0.06,0.0,0.0,0.42,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
NFL Blitz 2001,n64,2000,sports,midway games,0.34,0.07,0.0,0.0,0.42,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
James Bond 007: Everything or Nothing,gc,2004,shooter,electronic arts,0.32,0.08,0.0,0.01,0.42,8.4,41.0,8.2,25.0,EA Redwood Shores,T
NBA Live 06,psp,2005,sports,electronic arts,0.39,0.0,0.0,0.03,0.42,8.0,18.0,7.6,13.0,EA Canada,E
MLB 08: The Show,ps2,2008,sports,sony computer entertainment,0.35,0.01,0.0,0.06,0.42,8.4,12.0,7.3,7.0,SCEA San Diego Studios,E
Horsez,ds,2006,simulation,ubisoft,0.38,0.01,0.0,0.03,0.42,6.860919540229885,21.419540229885058,8.7,14.0,Virtual Toys,E
Dance Dance Revolution Ultramix 2,xb,2004,simulation,konami digital entertainment,0.32,0.09,0.0,0.02,0.42,7.8,16.0,7.1,7.0,Konami Computer Entertainment Hawaii,E
Mega Man Anniversary Collection,gc,2004,platform,capcom,0.32,0.08,0.0,0.01,0.42,8.1,32.0,8.8,17.0,Atomic Planet Entertainment,E
Crash: Mind Over Mutant,ds,2008,platform,vivendi games,0.38,0.0,0.0,0.03,0.42,4.5,12.0,5.8,8.0,TOSE,E
Super Famista 4,snes,1995,sports,namco bandai games,0.0,0.0,0.42,0.0,0.42,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
The Fairly Odd Parents: Game Boy Advance Video Volume 2,gba,2004,misc,unknown,0.3,0.11,0.0,0.01,0.42,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
How to Train Your Dragon,wii,2010,action,activision,0.23,0.15,0.0,0.04,0.42,5.9,11.0,7.0,4.0,Etranges Libellules,E10+
Cabela's Legendary Adventures,ps2,2008,sports,activision,0.21,0.16,0.0,0.05,0.42,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Sand Grain Studios,T
Story of Seasons,3ds,2014,simulation,nintendo,0.0,0.14,0.27,0.01,0.42,7.6,39.0,8.2,54.0,Marvelous AQL,E10+
Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,ds,2010,misc,namco bandai games,0.0,0.0,0.42,0.0,0.42,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Harry Potter and the Goblet of Fire,gc,2005,action,electronic arts,0.32,0.08,0.0,0.01,0.42,6.9,20.0,6.3,13.0,Electronic Arts,E10+
Thrillville: Off the Rails,ps2,2007,strategy,lucasarts,0.2,0.16,0.0,0.05,0.42,7.0,11.0,1.7,30.0,Frontier Developments,E10+
Metro: Last Light,ps3,2013,action,deep silver,0.14,0.18,0.03,0.07,0.42,8.0,23.0,8.2,508.0,4A Games,E
NBA 2K11,psp,2010,action,take-two interactive,0.39,0.0,0.0,0.03,0.42,6.667693138843868,27.891950297136685,6.4,5.0,Visual Concepts,E
Mega Man X6,ps,2001,action,capcom,0.14,0.1,0.16,0.03,0.42,6.5,14.0,6.8,44.0,Capcom,E
BloodRayne,ps2,2002,shooter,universal interactive,0.2,0.16,0.0,0.05,0.42,7.5,18.0,8.5,26.0,Terminal Reality,M
Kumamon Bomber: Puzzle de Kumamon Taisou,gc,2005,puzzle,sega,0.32,0.08,0.0,0.01,0.42,6.723181818181819,20.454545454545453,7.1384,33.12,Unknown,E
Castlevania: Curse of Darkness,ps2,2005,action,konami digital entertainment,0.18,0.14,0.05,0.05,0.42,7.0,30.0,7.5,46.0,Konami,M
NBA 2K13,wii,2012,sports,take-two interactive,0.36,0.03,0.0,0.03,0.42,7.199313304721031,21.050643776824035,7.5,10.0,Virtuos,E
International Superstar Soccer Pro '98,ps,1998,sports,konami digital entertainment,0.02,0.02,0.35,0.03,0.42,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
LEGO Rock Band,ps3,2009,misc,warner bros. interactive entertainment,0.24,0.12,0.0,0.06,0.42,7.5,36.0,7.6,18.0,TT Fusion,E10+
Jimmy Neutron: Boy Genius,gba,2001,platform,thq,0.3,0.11,0.0,0.01,0.42,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Black,xb,2006,shooter,electronic arts,0.31,0.09,0.0,0.01,0.42,7.7,65.0,8.0,51.0,Criterion Games,M
Double Pack: Finding Nemo / The Incredibles,xb,2006,action,thq,0.31,0.09,0.0,0.01,0.42,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Spec Ops: The Line,x360,2012,shooter,take-two interactive,0.21,0.17,0.0,0.04,0.42,7.6,59.0,8.2,319.0,Yager,M
Paper Mario: Color Splash,wiiu,2016,role-playing,nintendo,0.2,0.14,0.05,0.03,0.42,7.5,72.0,6.8,208.0,"Nintendo, Intelligent Systems",E
Valkyrie Profile: Covenant of the Plume,ds,2008,role-playing,square enix,0.22,0.02,0.16,0.02,0.42,7.4,35.0,6.8,12.0,Tri-Ace,T
Vanquish,x360,2010,shooter,sega,0.19,0.16,0.03,0.04,0.42,8.4,70.0,8.4,182.0,PlatinumGames,M
Solitaire Overload,ds,2007,misc,telegames,0.39,0.0,0.0,0.03,0.42,6.664833005893909,21.68369351669941,9.2,12.0,Telegames,E
TRON: Evolution,ps3,2010,action,disney interactive studios,0.27,0.09,0.0,0.05,0.42,5.8,47.0,6.2,28.0,Propaganda Games,T
Lord of the Rings: The Third Age,xb,2004,role-playing,electronic arts,0.31,0.09,0.0,0.01,0.42,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Pirates of the Caribbean: At World's End,ps2,2007,action,disney interactive studios,0.2,0.16,0.0,0.05,0.42,5.4,10.0,7.0,10.0,Eurocom Entertainment Software,T
Mega Man Legends 2,ps,2000,adventure,capcom,0.17,0.12,0.1,0.03,0.42,7.6,10.0,8.8,29.0,Capcom,E
X-Men vs. Street Fighter,ps,1997,fighting,capcom,0.16,0.11,0.12,0.03,0.42,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Blazing Angels: Squadrons of WWII,x360,2006,simulation,ubisoft,0.36,0.02,0.0,0.03,0.42,6.6,58.0,7.9,53.0,Ubisoft,T
Zack & Wiki: Quest for Barbaros' Treasure,wii,2007,adventure,nintendo,0.18,0.16,0.03,0.04,0.42,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
High Rollers Casino,ps2,2004,misc,mud duck productions,0.2,0.16,0.0,0.05,0.42,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Virtual Toys,E
Attack on Titan: Humanity in Chains,3ds,2013,action,screenlife,0.0,0.0,0.42,0.0,0.42,4.6,22.0,4.5,34.0,Spike Chunsoft,M
The Suffering,ps2,2004,action,midway games,0.2,0.16,0.0,0.05,0.42,7.7,47.0,8.9,40.0,Surreal Software,M
Cyber Troopers Virtual-On,sat,1995,fighting,sega,0.0,0.0,0.42,0.0,0.42,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Star Wars Starfighter: Special Edition,xb,2001,simulation,lucasarts,0.3,0.1,0.0,0.02,0.42,7.6,22.0,7.132153392330384,83.42182890855457,Secret Level,T
Animal Crossing: Amiibo Festival,wiiu,2015,misc,nintendo,0.19,0.11,0.09,0.03,0.41,4.6,20.0,4.4,173.0,"Nintendo, Nd Cube",E
NBA Jam,ps2,2003,sports,acclaim entertainment,0.2,0.16,0.0,0.05,0.41,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Zone of the Enders: The 2nd Runner,ps2,2003,simulation,konami digital entertainment,0.15,0.12,0.11,0.04,0.41,8.2,33.0,8.9,65.0,KCEJ,M
Just Dance 2014,ps4,2013,misc,ubisoft,0.19,0.16,0.0,0.07,0.41,7.5,4.0,5.5,51.0,Ubisoft,E10+
Jampack Spring 2004 (RP-T),ps2,2003,misc,sony computer entertainment,0.2,0.16,0.0,0.05,0.41,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Dexter's Laboratory Deesaster Strikes,gba,2001,adventure,bam! entertainment,0.3,0.11,0.0,0.01,0.41,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
NFL GameDay 2004,ps2,2003,sports,sony computer entertainment,0.2,0.16,0.0,0.05,0.41,6.5,25.0,8.7,6.0,989 Sports,E
Condemned: Criminal Origins,x360,2005,action,sega,0.36,0.02,0.0,0.03,0.41,8.1,72.0,8.2,146.0,Monolith Productions,M
Scooby-Doo and the Cyber Chase,gba,2001,adventure,ubisoft,0.3,0.11,0.0,0.01,0.41,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Wheel of Fortune,ds,2010,misc,thq,0.39,0.0,0.0,0.03,0.41,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,THQ,E
Tomb Raider: The Last Revelation,pc,1998,action,eidos interactive,0.41,0.0,0.0,0.0,0.41,6.667693138843868,27.891950297136685,8.6,50.0,Core Design Ltd.,T
pro evolution soccer 2011,ps2,2010,sports,konami digital entertainment,0.04,0.21,0.05,0.11,0.41,7.199313304721031,21.050643776824035,6.7,7.0,Konami,E
Sega Rally Championship 2,dc,1999,racing,sega,0.0,0.0,0.41,0.0,0.41,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
Quake II,ps,1998,shooter,activision,0.23,0.16,0.0,0.03,0.41,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Crash of the Titans,ps2,2007,action,vivendi games,0.34,0.01,0.0,0.06,0.41,7.0,12.0,5.9,48.0,Radical Entertainment,E10+
EA Sports UFC 2,xone,2016,sports,electronic arts,0.24,0.14,0.0,0.04,0.41,7.6,42.0,6.0,77.0,EA Sports,T
MLB 10: The Show,ps2,2010,sports,sony computer entertainment,0.2,0.16,0.0,0.05,0.41,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,SCEA,E
Wheel of Fortune: 2nd Edition,ps,2000,misc,hasbro interactive,0.23,0.16,0.0,0.03,0.41,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Tom Clancy's Rainbow Six: Lockdown,xb,2005,shooter,ubisoft,0.26,0.13,0.0,0.02,0.41,7.4,39.0,6.6,28.0,"Red Storm Entertainment, Ubisoft Montreal",M
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,psp,2009,fighting,namco bandai games,0.0,0.0,0.41,0.0,0.41,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
TimeShift,x360,2007,shooter,vivendi games,0.36,0.02,0.0,0.03,0.41,7.0,58.0,7.9,63.0,Saber Interactive,M
Cool Boarders 2001,ps,2000,sports,sony computer entertainment,0.23,0.16,0.0,0.03,0.41,5.6,10.0,6.951433857539316,41.87511563367253,Idol Minds,E
Grudge Warriors,ps,1999,action,take-two interactive,0.23,0.16,0.0,0.03,0.41,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Farming Simulator 17,ps4,2016,simulation,focus home interactive,0.05,0.31,0.0,0.06,0.41,6.9,17.0,8.7,12.0,Maximum Games,E
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,ps,2000,sports,konami digital entertainment,0.0,0.0,0.39,0.03,0.41,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Castlevania: The Dracula X Chronicles,psp,2007,platform,konami digital entertainment,0.22,0.09,0.04,0.07,0.41,8.0,43.0,7.8,62.0,Konami,T
Mobile Suit Gundam,sat,1995,action,namco bandai games,0.0,0.0,0.41,0.0,0.41,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Tom Clancy's HAWX 2,ps3,2010,action,ubisoft,0.21,0.12,0.03,0.05,0.41,7.0,30.0,6.8,19.0,Ubisoft,T
Battlefield: Hardline,ps3,2015,shooter,electronic arts,0.13,0.15,0.07,0.06,0.41,7.026002166847237,35.679306608884076,5.3,81.0,Visceral Games,M
Jimmy Neutron: Boy Genius,ps2,2002,platform,thq,0.2,0.16,0.0,0.05,0.41,6.812448979591837,23.76734693877551,5.8,5.0,THQ,E
Itadaki Street DS,ds,2007,misc,square enix,0.0,0.0,0.41,0.0,0.41,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
X-Men: The Official Game,ps2,2006,action,activision,0.2,0.16,0.0,0.05,0.41,5.2,44.0,7.5,20.0,"Z-Axis, Ltd.",T
Terraria,ps3,2013,action,505 games,0.07,0.2,0.09,0.05,0.41,8.1,12.0,7.9,70.0,Engine Software,T
LEGO Dimensions,xone,2015,action,warner bros. interactive entertainment,0.22,0.15,0.0,0.04,0.41,8.0,12.0,6.9,27.0,Traveller's Tales,E10+
Football Manager Handheld 2011,psp,2010,sports,sega,0.0,0.27,0.0,0.14,0.41,7.7,5.0,7.7,6.0,Sports Interactive,E
300: March to Glory,psp,2007,action,warner bros. interactive entertainment,0.27,0.08,0.0,0.07,0.41,5.5,31.0,7.1,14.0,Collision Studios,M
Marvel Super Hero Squad,ds,2009,fighting,thq,0.36,0.02,0.0,0.03,0.41,6.1,4.0,2.8,4.0,THQ,E10+
Call of Duty: Modern Warfare: Mobilized,ds,2009,shooter,activision,0.36,0.02,0.0,0.03,0.41,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
NHL 15,xone,2014,sports,electronic arts,0.31,0.06,0.0,0.04,0.41,5.9,22.0,3.2,180.0,EA Sports,E10+
E0: Enemy Zero,sat,1996,adventure,sega,0.0,0.0,0.41,0.0,0.41,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Tom Clancy's The Division,pc,2016,shooter,ubisoft,0.22,0.15,0.0,0.04,0.41,7.9,33.0,5.8,1188.0,Massive Entertainment,M
Yu-Gi-Oh! GX: Tag Force 2,psp,2007,strategy,konami digital entertainment,0.03,0.19,0.1,0.1,0.41,7.215878378378379,28.33108108108108,7.294426229508197,198.41311475409836,Unknown,E
Nicktoons: Unite!,ps2,2005,adventure,thq,0.34,0.01,0.0,0.06,0.41,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
JumpStart: Escape from Adventure Island,wii,2009,adventure,knowledge adventure,0.38,0.0,0.0,0.03,0.41,6.8,8.0,7.139597315436241,103.95302013422818,Knowledge Adventure Inc.,E
Green Day: Rock Band,ps3,2010,misc,mtv games,0.19,0.15,0.0,0.06,0.41,7.6,41.0,6.3,24.0,"Harmonix Music Systems, Demiurge Studios",T
NASCAR Racing,ps,1996,racing,pioneer ldc,0.23,0.16,0.0,0.03,0.41,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
FIFA 14,psv,2013,sports,electronic arts,0.08,0.23,0.01,0.09,0.41,7.199313304721031,21.050643776824035,1.8,69.0,EA Canada,E
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,wii,2009,misc,hudson soft,0.0,0.0,0.41,0.0,0.41,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Cars: Race-O-Rama,psp,2009,racing,thq,0.29,0.07,0.0,0.06,0.41,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Tantalus Interactive,E
Boku no Natsuyasumi 2: Umi no Bouken Hen,ps2,2002,adventure,sony computer entertainment,0.0,0.0,0.41,0.0,0.41,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
F1 2014,ps3,2014,racing,codemasters,0.07,0.26,0.02,0.06,0.41,6.2,19.0,4.1,28.0,Codemasters Birmingham,E
Command & Conquer: Red Alert,ps,1997,strategy,virgin interactive,0.23,0.16,0.0,0.03,0.41,7.215878378378379,28.33108108108108,7.294426229508197,198.41311475409836,Unknown,E
Cars: Mater-National Championship,ps3,2007,racing,thq,0.37,0.01,0.0,0.03,0.41,6.3,8.0,4.8,4.0,Rainbow Studios,E
Call of Duty: Black Ops II,wiiu,2012,shooter,activision,0.2,0.18,0.0,0.03,0.41,8.1,31.0,6.9,228.0,Treyarch,M
Ogre Battle 64: Person of Lordly Caliber,n64,1999,role-playing,nintendo,0.1,0.02,0.25,0.04,0.41,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Superman: The New Superman Adventures,n64,1999,action,titus,0.33,0.07,0.0,0.0,0.41,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Dig Dug,nes,1985,puzzle,namco bandai games,0.0,0.0,0.41,0.0,0.41,6.723181818181819,20.454545454545453,7.1384,33.12,Unknown,E
BioShock,pc,2007,shooter,take-two interactive,0.01,0.39,0.0,0.02,0.41,9.6,44.0,8.5,3606.0,"Irrational Games, 2K Marin",M
The Terminator: Dawn of Fate,ps2,2002,action,atari,0.2,0.16,0.0,0.05,0.41,5.8,17.0,5.7,18.0,Paradigm Entertainment,T
Rogue Galaxy: Director's Cut,ps2,2007,role-playing,sony computer entertainment,0.2,0.16,0.0,0.05,0.41,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Armored Core,ps,1997,simulation,sony computer entertainment,0.13,0.09,0.16,0.03,0.41,6.860919540229885,21.419540229885058,7.132153392330384,83.42182890855457,Unknown,E
The Smurfs,ds,2011,action,ubisoft,0.23,0.14,0.0,0.04,0.41,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Land Ho!,E
Densha De Go! 2,ps,1999,simulation,taito,0.0,0.0,0.38,0.03,0.41,6.860919540229885,21.419540229885058,7.132153392330384,83.42182890855457,Unknown,E
Medal of Honor Heroes 2,wii,2007,shooter,electronic arts,0.33,0.04,0.01,0.03,0.41,7.3,37.0,7.6,82.0,EA Canada,T
Top Spin 4,x360,2011,sports,take-two interactive,0.15,0.22,0.0,0.04,0.41,8.4,54.0,8.2,70.0,2K Czech,E
James Patterson Women's Murder Club: Games of Passion,ds,2009,adventure,thq,0.15,0.22,0.0,0.05,0.41,5.3,8.0,7.139597315436241,103.95302013422818,THQ,T
Band Hero,ps2,2009,misc,activision,0.15,0.06,0.0,0.2,0.41,6.664833005893909,21.68369351669941,4.4,7.0,BudCat,E10+
